id,nombre,año,titulo,cancion
0,pedro suarez vertiz,2004,lo olvide,"Sé que debí tomar tu mano 
Cuando solíamos caminar Sé que debí estar a tu lado Para algo más que disfrutar Lo olvidé, lo olvidé, lo olvidé Uhh, lo olvidé, lo olvidé, lo olvidé Uh-uh-uh Sé que debí dejar de lado Que la razón debía ganar Sé que debí no hacerme caso Sé que debí volver a amar"
1,jean marco,2018,empecemos a vivir,"Soy feliz contigo, agua de mi sed Viajan mis caricias, por el lienzo de tu piel Pétalos de orquídeas, brotan con el sol Muero y resucito y me das vida con tu amor Tengo el horizonte en tu mirada Tengo en mi futuro tus mañanas Tengo una canción por empezar Sin tu melodía no soy nadaSoy feliz contigo Lo vuelvo a decir Quédate conmigo Ya empecemos a vivir"
2,jean marco,2018,tu no te imaginas,"tu paciencia y mi silencio Decidieron terminar Tu memoria y mi recuerdoYa no quieren conversar Son tus besos, mi frontera Y tu cárcel, mi querer Y aunque digas que no quieras Tú también quieres volver Hasta cuando y hasta donde Tú y yo vamos a esperar Y es que tú"
3,William luna moscoso,1999, vienes y te vas,"yo no quiero verme contigo, No sabes cuánto sufro, cariño No sé si soy feliz lejos de ti O soy feliz estando contigo Un día me amas, luego me olvidas Un día me amas, luego te olvidas No sé si soy feliz lejos de ti O soy feliz estando contigo Vienes, vienes y te vas"
4,William Luna Moscoso, 2000, Niñachay,"Niñachay, dijiste que me querías
Niñachay, ¿por qué me mentías?
Niñachay, dijiste que volverías
Niñachay, ¿por qué me mentías?
Si este amor, era mi vida
Si tu amor, me pertenecía
Niñachay, dejaste mi alma herida
Niñachay, por tus mentiras
Niñachay, dijiste que volverías
Niñachay, ¿por qué me mentías?
Si este amor, era mi vida
Si tu amor, me pertenecía
Niñachay, ¡tú sabes cuánto te quiero!
Niñachay, ¡cuánto te amo!
Niñachay, tú sabes que soy tu dueño
Niñachay, vuelve"
5,william Luna Moscoso, 2008, Como Si no supiera,"Te miro a los ojos, como si no supiera
Escucho tus palabras, como si no supiera
Que afuera te espera un hombre, como una cualquiera
Mientras me dices que me quieres, como si te creyera
Y yo, como si no supiera
Y yo, como si no supiera
Solo te soporto porque soy preso de tu carne
Ya llegará el día en que yo te diga
Que no te necesito más en mis días
Que ya me cansé de soportar tus estúpidas mentiras
Mientras yo, como si no supiera
Y yo, como si no supiera
Que haces el amor con otro hombre
Y de mí como de un tonto se me esconden
En el silencio se ríen de mi nombre
No sabes que lo sé y solo espero
Que el tiempo te borre de mi mente
Cuando encuentre otro amor en mi vida
De seguro curará mis heridas
Pero jamás creeré en otra, en mi vida
Mientras yo, como si no supiera
Y yo, como si no supiera"
6, Pedro Suares Vertis, 2004,cuando pienses en Volver,"Cuando pienses en volver
Aquí están tus amigos, tu lugar y tu mujer
Y te abrazarán
Dirán que el tiempo no pasó
Y te amarán con todo el corazón
Trabajas hasta muy tarde y no puedes descansar
Las palabras de tu madre empiezan a sonar
Cuando tú te estés muriendo por un poco de amor
Hijito sigue adelante domina al corazón
Debes sacar los tormentos de tu corazón
Pues el dolor no es eterno y pronto saldrá el sol
Saldrá el sol (¡Hey!)
Cuando pienses en volver
Aquí están tus amigos, tu lugar y tu mujer
Y te abrazarán
Dirán que el tiempo no pasó
Y te amarán con todo el corazón"
7,Gian Marco,2018, Sacala a bailar,"Llego la noche, todo comienza 
La que te gusta, tiene un vestido color melón 
Cabello suelto, zapatos rojos 
Vino sólita, todos la vieron cuando llego
Sácala bailar, que ella baila bonito 
Sácala que, quiere bailar pegadito 
Sácala a bailar, sácala a bailar
Sácala a bailar, que no tiene pareja 
Sácala que ahorita, comienza la fiesta 
Sácala a bailar, sácala a bailar
Sácala, sacude las caderas 
Sácala, la música que esta buena 
Sácala, me estoy enamorando 
Contigo voy cantando"
8, Gian Marco, 2002, Sentirme Vivo,"voy a hacer
una ronda por tu cumpleaños
un poema mil veces por año
y asi me entiendas
cuanto te amo
Silvaré como silva un jilgero en el dia
borrare todas tus pesadillas
y en tu boca me refugiare
Buscaré tierra nueva en el campo
le rezare a un santo al atardecer
nadare mar adentro en tu milla
y de una costilla te hare mi mujer
han crecidos en tu piel girasoles
de tu vientre nacio mi motivo
sentirme vivo
Voy a hace el que siempre
te amarre el zapato
el que cuide de ti cada paso
el que ponga el sabor a tus labios
Silbaré la cancion del recuerdo en el dia
y en la noche te hare manzanilla
para verte dormida en mi piel
Buscaré tierra nueva en el campo
le rezare a un santo al atardecer
nadare mar adentro en tu milla
y de una costilla te hare mi mujer
Han crecido en tu piel girasoles
de tu vientre nacio mi motivo
sentirme vivo"
9, Anna Karina, 2018, Quiero Contigo,"Se me cae la baba
Cuando me clavas de frente tu mirada
Te veo y me pregunto dónde estabas
Yo no te esperaba
Pero ahora sé que muero por probar
Que es lo que va a pasar
Quédate conmigo otro ratito
Y llévame contigo a un rinconcito
Y luego vemos
Si nos queremos
Y hacemos las cosas que nos gusta
Lo que nos de la gana
Toda la semana
Juntamos la noche con el día
Tu boca con la mía
Que rico sería
Porque yo quiero contigo -tigo (Oh-oh)
Porque yo quiero contigo -tigo (Oh-oh)
Tú mi mala suerte la cambiaste
La empujaste, la quitaste y te quedaste tú
Yo me estremecí cuando llegaste
Porque yo también llegué"
